Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Constituency,Beds,Open 24 Hours,Open Weekends,Operational Status
18445,Hessed Clinic Masiro,Nyanza,Siaya,Siaya,Sihay,Medical Clinic,Private Practice - Nurse / Midwife,UGENYA,0,Y,Y,Operational
10316,Hezeman Afya Bora,Central,Kirinyaga,Kirinyaga West,Ndia East,Laboratory (Stand-alone),Private Enterprise (Institution),NDIA,0,N,N,Operational
16522,Hidaya Medical Clinic,Coast,Kilifi,Malindi,Malindi,Medical Clinic,Private Practice - Clinical Officer,MALINDI,0,N,N,Operational
19787,High Way Medical Clinic,Central,Nyandarua,Nyandarua South,N Kinangop,Medical Clinic,Private Practice - Clinical Officer,KINANGOP,0,N,Y,Operational
16851,Highland Clinic,Eastern,Meru,Meru Central,Abothuguchi West,Medical Clinic,Private Enterprise (Institution),CENTRAL IMENTI,0,N,N,Operational
18844,Highrise Medical Services,Coast,Mombasa,Kisauni,Kisauni,Medical Clinic,Private Practice - Nurse / Midwife,KISAUNI,0,N,Y,Operational
13363,Highway Clinic (Wajir East),North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Enterprise (Institution),WAJIR EAST,0,N,Y,Operational
10320,Holy Family Dispensary,Central,Nyandarua,Nyandarua North,Ndaragwa,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,NDARAGWA,0,N,N,Operational
19963,Holy Family Mission Hospital Githunguri,Central,Kiambu,Githunguri,Githunguri,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,GITHUNGURI,45,Y,Y,Operational
16073,Holy Family Nangina Hospital,Western,Busia,Samia,Funyula,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,FUNYULA,96,Y,Y,Operational
13604,Holy Family Oriang Mission Dispensary,Nyanza,Homa Bay,Rachuonyo South,Kabondo,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,KASIPUL/KABONDO,2,N,N,Operational
10322,Holy Rosary Ikinu Dispensary,Central,Kiambu,Githunguri,Githunguri,Dispensary,Other Faith Based,GITHUNGURI,0,N,N,Operational
14549,Holy Spirit Health Centre,Rift Valley,Nakuru,Gilgil,Gilgil,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,NAIVASHA,15,Y,Y,Operational
17984,Holy Transfiguration Orthodox Health Centre,Central,Kiambu,Kikuyu,Kikuyu,Health Centre,Other Faith Based,KABETE,0,Y,Y,Operational
14550,Holy Trinity Health Centre (Mai Mahiu),Rift Valley,Nakuru,Naivasha,Mai Mahiu,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,NAIVASHA,5,N,N,Operational
18063,Homa Bay Central Widows VCT,Nyanza,Homa Bay,Homa Bay,Asego,VCT Centre (Stand-Alone),Private Practice - Nurse / Midwife,RANGWE,0,N,N,Operational
17926,Homa Bay Community Medical Clinic,Nyanza,Homa Bay,Homa Bay,Asego,Medical Clinic,Private Practice - Clinical Officer,RANGWE,1,N,Y,Operational
13608,Homa Bay District Hospital,Nyanza,Homa Bay,Homa Bay,Asego,District Hospital,Ministry of Health,RANGWE,280,Y,Y,Operational
13605,Homa Clinic,Nyanza,Homa Bay,Homa Bay,Asego,Medical Clinic,Private Enterprise (Institution),RANGWE,0,N,N,Operational
13606,Homa Hills Health Centre,Nyanza,Homa Bay,Rachuonyo North,West Karachuonyo,Health Centre,Non-Governmental Organizations,KARACHUONYO,7,N,N,Operational
13607,Homa Lime Health Centre,Nyanza,Homa Bay,Rachuonyo North,West Karachuonyo,Health Centre,Ministry of Health,KARACHUONYO,6,Y,Y,Operational
18056,Homebase Medical Clinic,Coast,Kwale,Kinango,Kinango,Medical Clinic,Private Practice - Nurse / Midwife,KINANGO,0,N,Y,Operational
17676,Homey Medical Clinic,Central,Kiambu,Limuru,Limuru,Medical Clinic,Private Practice - Nurse / Midwife,LIMURU,0,N,Y,Operational
13609,Hongo Ogosa Dispensary,Nyanza,Kisumu,Kisumu East,Kadibo,Dispensary,Ministry of Health,KISUMU TOWN EAST,0,N,N,Operational
11412,Hongwe Catholic Dispensary,Coast,Lamu,Lamu West,Mpeketoni,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,LAMU WEST,0,N,N,Operational
11413,Hongwe Clinic,Coast,Lamu,Lamu West,Mpeketoni,Medical Clinic,Private Practice - Nurse / Midwife,LAMU WEST,0,N,N,Operational
12969,Hono Clinic,Nairobi,Nairobi,Makadara,Makadara,Dispensary,Local Authority,MAKADARA,0,N,N,Operational
12970,Hope Community VCT,Nairobi,Nairobi,Dagoretti,Dagoretti,VCT Centre (Stand-Alone),Other Faith Based,DAGORETI,0,N,N,Operational
16983,Hope Compassionate (ACK) Dispensary,Nyanza,Homa Bay,Homa Bay,Asego,Dispensary,Christian Health Association of Kenya,RANGWE,0,N,N,Operational
17446,Hope Medical Clinic,Central,Kiambu,Limuru,limuru,Medical Clinic,Private Practice - Nurse / Midwife,LIMURU,0,N,Y,Operational
19278,Hope Medical Clinic ( Githurai),Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Practice - General Practitioner,KASARANI,0,N,Y,Operational
20063,Hoymas VCT (Nairobi),Nairobi,Nairobi,Starehe,Kariokor,VCT Centre (Stand-Alone),Non-Governmental Organizations,STAREHE,0,N,Y,Operational
13610,Huduma Clinic,Nyanza,Migori,Kuria West,Kehancha,Medical Clinic,Private Enterprise (Institution),KURIA,8,N,N,Operational
17393,Huduma Health Centre,Nairobi,Nairobi,Langata,Lang'ata,Maternity Home,Private Practice - Clinical Officer,LANG'ATA,2,Y,Y,Operational
16575,Huduma Medical Clinic,Eastern,Meru,Buuri,Buuri,Medical Clinic,Private Enterprise (Institution),NORTH IMENTI,0,N,N,Operational
18675,Huhoini Dispensary,Central,Nyandarua,Nyandarua North,Nyahururu,Dispensary,Ministry of Health,NDARAGWA,0,N,N,Operational
16205,Hulahula Dispensary,Eastern,Marsabit,Marsabit,Central,Dispensary,Ministry of Health,SAKU,0,N,N,Operational
13365,Hulugho Sub-District Hospital,North Eastern,Garissa,Hulugho,Hulugho,Sub-District Hospital,Ministry of Health,IJARA,6,Y,Y,Operational
19823,Humanity Medical Clinic (Kir South),Central,Kirinyaga,Kirinyaga South,,Medical Clinic,Private Practice - Nurse / Midwife,MWEA,0,N,Y,Operational
19845,Humanity Medical Clinic (Kir West),Central,Kirinyaga,Kirinyaga West,,Medical Clinic,Private Practice - Nurse / Midwife,MWEA,0,N,N,Operational
16793,Hungai Dispensary,North Eastern,Wajir,Tarbaj,Kutulo,Dispensary,Ministry of Health,WAJIR EAST,0,Y,Y,Operational
19302,Hunters Medical Clinic,Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Practice - General Practitioner,KASARANI,0,N,Y,Operational
12061,Hurri-Hills Dispensary,Eastern,Marsabit,Marsabit North,Turbi,Dispensary,Ministry of Health,NORTH HORR,0,N,N,Operational
12973,Huruma (EDARP),Nairobi,Nairobi,Starehe,Central,VCT Centre (Stand-Alone),Kenya Episcopal Conference-Catholic Secretariat,STAREHE,0,N,N,Operational
12972,Huruma (NCCK) Dispensary,Nairobi,Nairobi,Starehe,Huruma,Dispensary,Christian Health Association of Kenya,STAREHE,0,Y,Y,Operational
12062,Huruma Clinic (Embu),Eastern,Embu,Embu North,Manyatta,Medical Clinic,Private Practice - Nurse / Midwife,MANYATTA,0,N,N,Operational
14552,Huruma Dispensary,Rift Valley,Nakuru,Njoro,Njoro,Dispensary,Other Faith Based,MOLO,0,N,N,Operational
14555,Huruma District Hospital,Rift Valley,Uasin Gishu,Eldoret West,Turbo,District Hospital,Ministry of Health,ELDORET NORTH,4,Y,Y,Operational
14553,Huruma Health Centre (Laikipia East),Rift Valley,Laikipia,Laikipia East,Central,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,LAIKIPIA EAST,58,N,N,Operational
12974,Huruma Lions Dispensary,Nairobi,Nairobi,Starehe,Starehe,Dispensary,Local Authority,STAREHE,0,N,N,Operational
12975,Huruma Maternity Hospital,Nairobi,Nairobi,Kasarani,Kasarani,Other Hospital,Private Enterprise (Institution),KASARANI,0,N,N,Operational
16576,Huruma Medical Centre,Eastern,Meru,Imenti North,Miriga Mieru West,Medical Clinic,Private Enterprise (Institution),NORTH IMENTI,0,N,N,Operational
18736,Huruma Medical Clinc,Eastern,Meru,Imenti North,Miriga Mieru West,Medical Clinic,Private Practice - Unspecified,NORTH IMENTI,0,N/A,N/A,Operational
17580,Huruma Medical Clinic,Central,Murang'a,Kiharu,Kiharu,Medical Clinic,Private Practice - General Practitioner,KIHARU,0,N,Y,Operational
18297,Huruma Medical Clinic (Bamba),Coast,Kilifi,Ganze,Bamba,Medical Clinic,Private Practice - Clinical Officer,GANZE,0,N,N,Operational
19255,Huruma Medical Clinic (Changamwe),Coast,Mombasa,Changamwe,Changamwe,Medical Clinic,Private Practice - Clinical Officer,CHANGAMWE,0,N,Y,Operational
10329,Huruma Medical Clinic (Gatundu),Central,Kiambu,Gatundu,Kamwangi,Medical Clinic,Private Practice - Nurse / Midwife,GATUNDU NORTH,0,N,Y,Operational
12064,Huruma Medical Clinic (Imenti Central),Eastern,Meru,Meru Central,Kibirichia Division,Medical Clinic,Private Enterprise (Institution),CENTRAL IMENTI,0,N,N,Operational
12980,IDF Mathare Dispensary,Nairobi,Nairobi,Kamukunji,Eastleigh North,Dispensary,Private Enterprise (Institution),KAMUKUNJI,0,N,N,Operational
11418,Idsowe Dispensary,Coast,Tana River,Tana Delta,Garsen,Dispensary,Ministry of Health,GARSEN,0,N,N,Operational
15896,Iduku Dispensary,Western,Vihiga,Vihiga,Vihiga,Dispensary,Ministry of Health,VIHIGA,3,N,N,Operational
19693,IFACO VCT,Rift Valley,Trans Nzoia,Trans Nzoia West,Central,VCT Centre (Stand-Alone),Non-Governmental Organizations,SABOTI,0,N,Y,Operational
13367,Ifmaho Medical Clinic and Laboratory,North Eastern,Garissa,Garissa,Central,Medical Clinic,Private Practice - Nurse / Midwife,DUJIS,0,N,N,Operational
18799,Ifo 2 Hospital,North Eastern,Garissa,Dadaab,Ifo,Other Hospital,Humanitarian Agencies,LAGDERA,30,Y,Y,Operational
13368,Ifo Hospital,North Eastern,Garissa,Dadaab,Dadaab,Other Hospital,Non-Governmental Organizations,LAGDERA,162,Y,N,Operational
13263,Iftin Medical and Lab Services,North Eastern,Garissa,Garissa,Central,Medical Clinic,Private Enterprise (Institution),DUJIS,0,N,N,Operational
19009,Iftin Medical Clinic,North Eastern,Garissa,Garissa,,Medical Clinic,Private Enterprise (Institution),DUJIS,0,N,Y,Operational
13369,Iftin Sub-District Hospital,North Eastern,Garissa,Garissa,Central,Sub-District Hospital,Ministry of Health,DUJIS,24,Y,Y,Operational
16449,Igago Dispensary,Western,Vihiga,Vihiga,Vihiga,Dispensary,Community Development Fund,VIHIGA,0,N,N,Not-Operational
12069,Igamatundu Dispensary,Eastern,Tharaka Nithi,Meru South,Igambang'ombe,Dispensary,Community,NITHI,0,N,N,Operational
10337,Igana Dispensary,Central,Nyeri,Mukurweini,Mukurweini,Dispensary,Ministry of Health,MUKURWEINI,0,N,N,Operational
12070,Igandene Dispensary,Eastern,Meru,Imenti South,Abogeta,Dispensary,Christian Health Association of Kenya,SOUTH IMENTI,0,N,N,Operational
16832,Igane Clinic,Eastern,Meru,Meru Central,Abothuguchi East,Medical Clinic,Private Enterprise (Institution),CENTRAL IMENTI,0,N,N,Operational
15897,Igara Dispensary,Western,Busia,Busia,Nambale,Dispensary,Ministry of Health,NAMBALE,0,N,N,Operational
13613,Igare Medical Clinic (Sameta),Nyanza,Kisii,Sameta,Sameta,Medical Clinic,Private Enterprise (Institution),BOBASI,0,N,N,Operational
18864,Igarii Dispensary,Eastern,Meru,Tigania East,Tigania East,Dispensary,Ministry of Health,TIGANIA EAST,0,N,N,Operational
10338,Igegania Sub-District Hospital,Central,Kiambu,Gatundu North,Mangu,Sub-District Hospital,Ministry of Health,GATUNDU NORTH,14,Y,Y,Operational
13614,Igena-Itambe Dispensary,Nyanza,Nyamira,Nyamira,Nyamira,Dispensary,Ministry of Health,WEST MUGIRANGO,0,N,N,Operational
19489,Ignane Health Centre,Eastern,Meru,Meru Central,Abothuguchi East,Health Centre,Ministry of Health,CENTRAL IMENTI,0,N,N,Operational
12071,Igoki Dispensary,Eastern,Meru,Imenti North,Miriga Mieru West,Dispensary,Ministry of Health,NORTH IMENTI,0,N,N,Operational
18340,Igorera Medical Clinic,Nyanza,Kisii,Kenyenya,Magena,Medical Clinic,Private Enterprise (Institution),BOMACHOGE,2,N,Y,Operational
15899,Iguhu District Hospital,Western,Kakamega,Kakamega South (Ikolomani),Ikolomani  South,District Hospital,Ministry of Health,IKOLOMANI,21,Y,Y,Operational
14557,Igure Dispensary,Rift Valley,Baringo,Koibatek,Eldama Ravine,Dispensary,Ministry of Health,ELDAMA RAVINE,0,N,N,Operational
14558,Igwamiti Dispensary,Rift Valley,Nakuru,Subukia,Mbogoine,Dispensary,Ministry of Health,SUBUKIA,0,N,N,Operational
19800,Igwamiti Medical Clinic,Central,Nyandarua,Nyandarua West,Oljoro orok,Medical Clinic,Private Practice - Nurse / Midwife,OL KALOU,0,N,Y,Operational
12082,Ikuyuni Dispensary,Eastern,Kitui,Nzambani,Chuluni,Dispensary,Ministry of Health,KITUI CENTRAL,0,N,N,Operational
16717,Ikuywa Dispensary,Western,Kakamega,Kakamega East (Shinyalu),Ileho,Dispensary,Ministry of Health,SHINYALU,0,N,Y,Operational
14562,Ilaiser Dispensary,Rift Valley,Narok,Narok North,Mau,Dispensary,Ministry of Health,NAROK NORTH,0,N,N,Operational
12083,Ilalambyu Dispensary,Eastern,Kitui,Mwingi West,Mumbuni,Dispensary,Ministry of Health,MWINGI SOUTH,0,N,N,Operational
17337,Ilan Dispensary,North Eastern,Garissa,Lagdera,modogashe,Dispensary,Ministry of Health,LAGDERA,0,N,N,Operational
19976,Ilatu Dispensary (Makindu),Eastern,Makueni,Makindu,Makindu,Dispensary,Ministry of Health,KIBWEZI,0,N/A,N/A,Pending Opening
19269,Ilbissil Medical Clinic,Rift Valley,Kajiado,Kajiado Central,Namanga,Medical Clinic,Private Practice - General Practitioner,KAJIADO CENTRAL,0,N,Y,Operational
17053,Ilchalai Dispensary,Rift Valley,Kajiado,Loitoktok,Imbirikani,Dispensary,Ministry of Health,KAJIADO SOUTH,4,Y,Y,Operational
15900,Ileho Health Centre,Western,Kakamega,Kakamega East (Shinyalu),Ileho,Health Centre,Ministry of Health,SHINYALU,7,Y,Y,Operational
12084,Ilengi Dispensary,Eastern,Kitui,Ikutha,Athi,Dispensary,Ministry of Health,KITUI SOUTH,4,N,N,Operational
12085,Ilika Dispensary,Eastern,Kitui,Lower Yatta,Yatta,Dispensary,Ministry of Health,KITUI WEST,0,N,N,Operational
14563,Ilkerin Dispensary (Narok South),Rift Valley,Narok,Narok South,Loita,Dispensary,Ministry of Health,NAROK SOUTH,6,N,N,Operational
14564,Ilkerin Dispensary (Trans Mara),Rift Valley,Narok,Trans Mara East,Emurua Dikirr,Dispensary,Ministry of Health,KILGORIS,0,N,N,Operational
14565,Ilkilinyet Dispensary,Rift Valley,Kajiado,Mashuru,Mashuru,Dispensary,Ministry of Health,KAJIADO CENTRAL,0,N,N,Operational
19676,Ilkilorit Dispeensary,Rift Valley,Kajiado,Kajiado North,Ewuaso Kedong,Dispensary,Ministry of Health,KAJIADO NORTH,0,N,N,Operational
17750,Ilkiremisho Dispensary,Rift Valley,Narok,Narok North,Mau,Dispensary,Community Development Fund,NAROK NORTH,0,N,N,Operational
14567,Illasit Medical Clinic,Rift Valley,Kajiado,Loitoktok,Rombo,Medical Clinic,Private Practice - Clinical Officer,KAJIADO SOUTH,4,N,Y,Operational
12086,Illaut Dispensary,Eastern,Marsabit,Marsabit South,Korr,Dispensary,Christian Health Association of Kenya,LAISAMIS,6,N,N,Operational
12087,Illeret Health Centre (North Horr),Eastern,Marsabit,North Horr,North Horr,Health Centre,Ministry of Health,NORTH HORR,4,N,N,Operational
18251,Illikeek Oodupa Clinic,Rift Valley,Narok,Trans Mara West - Dikirr,Kilgoris,Medical Clinic,Private Practice - Nurse / Midwife,KILGORIS,2,Y,Y,Operational
14568,Illinga'rua Dispensary,Rift Valley,Baringo,Marigat,Marigat,Dispensary,Ministry of Health,BARINGO CENTRAL,0,N,N,Operational
19724,Ilparakuo Dispensary,Rift Valley,Kajiado,Kajiado North,Magadi,Dispensary,Ministry of Health,KAJIADO NORTH,0,N,N,Pending Opening
14561,Ilpolei Dispensary,Rift Valley,Laikipia,Laikipia North,Ildigiri,Dispensary,Ministry of Health,LAIKIPIA EAST,4,Y,Y,Operational
15041,Ilpolosat Dispensary,Rift Valley,Kajiado,Isinya,Isinya,Dispensary,Ministry of Health,KAJIADO NORTH,0,N,N,Operational
14569,Iltilal Health Centre,Rift Valley,Kajiado,Loitoktok,Central,Health Centre,Ministry of Health,KAJIADO SOUTH,20,Y,Y,Operational
20019,Imc Tekeleza Dice - Isebania,Nyanza,Migori,Kuria West,Isebania,Medical Clinic,Non-Governmental Organizations,KURIA,0,N,Y,Operational
19929,Imc Tekeleza Dice Clinic Karungu,Nyanza,Migori,Migori,Karungu,Medical Clinic,Non-Governmental Organizations,NYATIKE,2,N,N,Operational
19930,Imc Tekeleza Dice Clinic Muhuru,Nyanza,Migori,Migori,Muhuru,Medical Clinic,Non-Governmental Organizations,NYATIKE,2,N,N,Operational
19504,Imcu Medical Clinic,Nairobi,Nairobi,Dagoretti,Woodly,Dispensary,Private Enterprise (Institution),DAGORETI,0,N,N,Operational
14572,Ime (AIC) Health Centre,Rift Valley,Nakuru,Nakuru North,Solai,Health Centre,Christian Health Association of Kenya,SUBUKIA,0,Y,N,Operational
19574,Imenti Medical Centre,Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Practice - Unspecified,STAREHE,0,N,N,Operational
16581,Imenti X-Ray Services,Eastern,Meru,Imenti North,Miriga Mieru West,Medical Clinic,Private Enterprise (Institution),NORTH IMENTI,0,N,N,Operational
18977,Im-Hotep Medical Centre,Rift Valley,Kajiado,Kajiado Central,Central,Medical Centre,Private Practice - General Practitioner,KAJIADO CENTRAL,0,Y,Y,Operational
10518,Immaculate Heart Hospital Kereita,Central,Kiambu,Lari,Lari,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,LARI,36,Y,Y,Operational
10349,Immaculate Heart of Mary Hospital,Central,Kiambu,Thika East,Thika East,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,JUJA,56,Y,Y,Operational
10351,Immanuel Medical Clinic,Central,Kiambu,Lari,Lari,Medical Clinic,Private Practice - Nurse / Midwife,LARI,0,N,Y,Operational
14573,Immurtot Health Centre,Rift Valley,Kajiado,Loitoktok,Entonet,Health Centre,Ministry of Health,KAJIADO SOUTH,20,Y,Y,Operational
17736,Impact Rdo Clinic,Nyanza,Migori,Migori,Suba Central,Medical Clinic,Non-Governmental Organizations,MIGORI,2,Y,Y,Operational
18456,Impact Research-Tuungane (Nyando),Nyanza,Kisumu,Nyando,Nyando,Medical Clinic,Non-Governmental Organizations,NYANDO,0,N,Y,Operational
12983,Imperial Clinic,Nairobi,Nairobi,Kamukunji,Central,Medical Clinic,Private Enterprise (Institution),STAREHE,0,N,N,Operational
16481,Imulama Dispensary,Western,Kakamega,Kakamega South (Ikolomani),Ikolomani  North,Dispensary,Ministry of Health,IKOLOMANI,0,N,N,Operational
17929,Indangalasia Dispensary,Western,Kakamega,Matungu,Koyonzo,Dispensary,Ministry of Health,MATUNGU,4,N,N,Operational
19333,Index Medical Services,Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Practice - General Practitioner,KASARANI,0,N,Y,Operational
14575,Industrial Area Dispensary,Rift Valley,Nakuru,Nakuru,Municipality,Dispensary,Local Authority,NAKURU TOWN,0,N,N,Operational
15898,Ingavira Medical Clinic,Western,Kakamega,Kakamega North (Malava),South Kabras,Medical Clinic,Private Practice - Nurse / Midwife,MALAVA,0,N,N,Operational
13371,Ingirir Dispensary,North Eastern,Wajir,Buna,Buna,Dispensary,Ministry of Health,WAJIR NORTH,0,N,N,Pending Opening
15902,Ingotse Dispensary,Western,Kakamega,Kakamega Central (Lurambi),Lurambi,Dispensary,Other Faith Based,LURAMBI,24,N,N,Operational
16329,Inkoirienito Dispensary,Rift Valley,Narok,Narok North,Mau,Dispensary,Ministry of Health,NAROK NORTH,0,N,N,Operational
13621,Irondi Dispensary,Nyanza,Kisii,Kisii Central,Keumbu,Dispensary,Ministry of Health,NYARIBARI CHACHE,0,N,N,Operational
10354,Iruri Dispensary,Central,Murang'a,Mathioya,Mathioya,Dispensary,Ministry of Health,MATHIOYA,0,N,N,Operational
14580,Irwaga Health Centre,Rift Valley,Bomet,Bomet,Bomet Central,Health Centre,Ministry of Health,BOMET,6,N,N,Operational
16425,Isamwera Dispensary,Nyanza,Kisii,Kisii South,Igonga,Dispensary,Ministry of Health,BONCHARI,0,N,N,Operational
13622,Isana Maternity and Nursing,Nyanza,Kisii,Kisii Central,Municipality,Medical Clinic,Private Enterprise (Institution),NYARIBARI CHACHE,30,N,N,Operational
13623,Isecha Health Centre,Nyanza,Kisii,Marani,Marani,Health Centre,Ministry of Health,KITUTU CHACHE,0,N,N,Operational
16464,Ishiara Sub-District Hospital,Eastern,Embu,Mbeere North,Evurore,Sub-District Hospital,Ministry of Health,SIAKAGO,77,Y,Y,Operational
13624,Isibania Mission Health Centre,Nyanza,Migori,Kuria West,Mabera,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,KURIA,18,Y,Y,Operational
13625,Isibania Sub-District Hospital,Nyanza,Migori,Kuria West,Isebania,Sub-District Hospital,Ministry of Health,KURIA,26,N,N,Operational
14581,Isinet Dispensary,Rift Valley,Kajiado,Loitoktok,Imbirikani,Dispensary,Ministry of Health,KAJIADO SOUTH,4,Y,Y,Operational
18993,Isinet Medical Clinic,Rift Valley,Kajiado,Loitoktok,Imbirikani,Medical Clinic,Private Practice - Nurse / Midwife,KAJIADO SOUTH,1,N/A,N/A,Pending Opening
14582,Isinya Health Centre,Rift Valley,Kajiado,Isinya,Isinya,Health Centre,Ministry of Health,KAJIADO NORTH,24,Y,Y,Operational
14583,Isinya Medical Care,Rift Valley,Kajiado,Isinya,Isinya,Medical Clinic,Private Practice - Clinical Officer,KAJIADO NORTH,0,N,N,Operational
19348,Isinya Medical Clinic,Rift Valley,Kajiado,Isinya,Isinya,Medical Clinic,Private Practice - Nurse / Midwife,KAJIADO NORTH,0,N,Y,Operational
19293,Isiolo Central Medical Clinic,Eastern,Isiolo,Isiolo,Central,Medical Clinic,Private Practice - Clinical Officer,ISIOLO NORTH,0,N,Y,Operational
12094,Isiolo District Hospital,Eastern,Isiolo,Isiolo,Central,District Hospital,Ministry of Health,ISIOLO NORTH,305,Y,Y,Operational
19410,Isiolo Medical Centre,Eastern,Isiolo,Isiolo,Central,Medical Clinic,Private Practice - General Practitioner,ISIOLO NORTH,0,N,Y,Operational
13373,Islamic Relief Agency,North Eastern,Garissa,Garissa,Central,Nursing Home,Private Enterprise (Institution),DUJIS,0,Y,Y,Operational
10355,Island Farms Dispensary,Central,Nyeri,Kieni East,Kieni East,Health Centre,Ministry of Health,KIENI,8,N,N,Operational
12066,Ismc Clinic,Eastern,Marsabit,Marsabit,Central,Medical Clinic,Private Practice - Nurse / Midwife,SAKU,0,N,N,Operational
13626,Isoge Health Centre,Nyanza,Nyamira,Borabu,Nyansiongo,Health Centre,Ministry of Health,NORTH MUGIRANGO,3,Y,Y,Operational
18953,Isra Walmiraj Medical Clinic,Rift Valley,Kajiado,Kajiado Central,Central,Medical Clinic,Private Practice - General Practitioner,KAJIADO CENTRAL,0,N/A,N/A,Operational
19991,Isumba Dispensary,Western,Kakamega,Kakamega Central (Lurambi),Lurambi,Dispensary,Ministry of Health,LURAMBI,0,N,N,Operational
12095,Itabua Police Dispensary,Eastern,Embu,Embu West,Central,Dispensary,Ministry of Health,MANYATTA,0,N,N,Operational
18512,Itando Mission of Hope and Health Centre,Western,Vihiga,Sabatia,Chavakali,Health Centre,Christian Health Association of Kenya,SABATIA,29,Y,Y,Operational
12099,Itongolani Dispensary,Eastern,Kitui,Mwingi Central,Central,Dispensary,Ministry of Health,MWINGI SOUTH,0,N,N,Operational
19999,Itotia Medical Clinic,Central,Kiambu,Lari,Lari,Medical Clinic,Private Practice - Nurse / Midwife,LARI,0,N,Y,Operational
12100,Itugururu Dispensary,Eastern,Tharaka Nithi,Meru South,Igambang'ombe,Dispensary,Christian Health Association of Kenya,NITHI,0,N,N,Operational
13630,Itumbe Dispensary,Nyanza,Kisii,Nyamache,Nyamache,Dispensary,Ministry of Health,BOBASI,0,N,N,Operational
17241,Itumbule Dispensary,Eastern,Makueni,Mukaa,Malili,Dispensary,Ministry of Health,KILOME,0,Y,N,Operational
10361,Itundu Dispensary,Central,Nyeri,Mathira East,Mathira,Dispensary,Ministry of Health,MATHIRA,0,N,N,Operational
10362,Itundu Medical Clinic,Central,Nyeri,Mathira East,Mathira,Medical Clinic,Private Practice - Nurse / Midwife,MATHIRA,0,N,N,Operational
12101,Itunduimuni Dispensary,Eastern,Machakos,Masinga,Masinga,Dispensary,Ministry of Health,MASINGA,3,N,N,Operational
10363,Ituramiro Medical Clinic,Central,Kiambu,Gatundu,Gatundu South,Medical Clinic,Private Practice - Nurse / Midwife,GATUNDU SOUTH,0,N,N,Not-Operational
12102,Iuani Health Centre,Eastern,Makueni,Makueni,Kaiti,Health Centre,Ministry of Health,KAITI,2,N,N,Operational
12103,Iuuma Dispensary,Eastern,Machakos,Masinga,Masinga,Dispensary,Ministry of Health,MASINGA,1,N,N,Operational
19891,Ivingoni Dispensary (Kibwezi),Eastern,Makueni,Kibwezi,Mtito Andei,Dispensary,Ministry of Health,KIBWEZI,0,N,N,Operational
15905,Ivona Clinic,Western,Kakamega,Lugari,Lugari,Medical Clinic,Private Enterprise (Institution),LUGARI,9,N,N,Operational
12104,Ivuusya Dispensary,Eastern,Kitui,Mwingi East,Nguni,Dispensary,Ministry of Health,MWINGI SOUTH,0,N,N,Operational
13631,Iyabe District Hospital (Kisii South),Nyanza,Kisii,Kisii South,Suneka,District Hospital,Ministry of Health,BONCHARI,12,Y,Y,Operational
17826,J A Comenius Medical Clinic,Coast,Kwale,Matuga,Matuga,Medical Clinic,Private Practice - Clinical Officer,MATUGA,0,N,Y,Operational
17222,Jabali Dispensary,Rift Valley,Uasin Gishu,Eldoret West,Soy,Dispensary,Ministry of Health,ELDORET NORTH,0,N/A,N/A,Operational
18559,Jacaranda Health Limited (Ruiru),Central,Kiambu,Ruiru,Ruiru,Health Centre,Non-Governmental Organizations,JUJA,6,Y,Y,Operational
18488,Jacaranda Special School,Nairobi,Nairobi,Westlands,Westlands,Training Institution in Health (Stand-alone),Other Public Institution,WESTLANDS,0,N,N,Operational
18333,Jacky Medical Clinic,Eastern,Tharaka Nithi,Tharaka North,Mukothima,Medical Clinic,Private Practice - Nurse / Midwife,THARAKA,0,N,Y,Operational
11421,Jadi Medical Clinic,Coast,Mombasa,Changamwe,Jomvu,Medical Clinic,Private Enterprise (Institution),CHANGAMWE,0,Y,Y,Operational
11423,Jaffery Medical Clinic,Coast,Mombasa,Mvita,Island,Medical Clinic,Private Enterprise (Institution),MVITA,0,N,N,Operational
16709,Jaggery Medical Clinic,Western,Bungoma,Bungoma East,Ndivisi,Medical Clinic,Private Enterprise (Institution),WEBUYE,0,N,N,Operational
14588,Jagoror Dispensary,Rift Valley,Kericho,Londiani,Londiani,Dispensary,Ministry of Health,SOTIK (PART),4,N,N,Operational
10364,Jaima Clinic,Central,Kirinyaga,Kirinyaga South,Mwea,Medical Clinic,Private Practice - Nurse / Midwife,MWEA,0,N,N,Operational
